Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",3.12,3.88,3.12,3.0,3.88,1.0,1.0,1.0,3.0,3.12,2.88,1.5,1.38,3.0,2.12,3.0,3.0,1.25,2.0,1.88,3.0,1.62,3.25,4.88,1.0,1.0,2.62,3.12,3.75,3.12,2.5,1.62,3.38,1.0,4.25,3.34,3.26,1.35,1.13,1.15,4.52,3.06,3.11,2.4,1.92,3.25,1.61,4.8,1.58,1.0,1.63,2.65,2.61,2.69,2.21,1.19,1.42,2.47,2.16,1.3,2.21,1.96,1.92,2.25,2.2,2.65,1.22,1.91,2.0,2.0,3.62,1.75,3.5,1.12,1.0,1.5,1.0,1.0,2.62,2.5,3.12,3.88,1.0,1.0,1.0,1.75,3.38,3.38,2.0,2.12,2.62,1.0,3.88,1.0,2.0,4.0,4.0,3.5,2.88,1.0,3.38,1.0,1.0,1.0,3.0,1.0,1.0,3.88,3.88,2.75,1.0,1.0,1.0,2.5,1.75,2.62,2.88,1.75,4.88,4.62,"Reading Comprehension, Writing, Active Listening, Critical Thinking, Speaking, Time Management, Quality Control Analysis, Active Learning, Social Perceptiveness, Complex Problem Solving","English Language, Communications and Media, Administration and Management, Administrative, Education and Training, Customer and Personal Service, Computers and Electronics, Law and Government, Geography, Telecommunications","Written Comprehension, Written Expression, Oral Comprehension, Oral Expression, Fluency of Ideas, Near Vision, Speech Recognition, Speech Clarity, Category Flexibility, Originality"
Technical Writers,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work.",3.25,3.75,2.75,3.0,3.62,1.0,1.0,1.0,2.5,3.12,2.5,1.38,1.62,2.12,1.62,3.0,2.62,1.0,2.5,1.5,2.88,1.38,2.25,4.12,1.0,1.25,2.12,2.75,3.75,2.38,1.88,1.38,3.12,1.12,4.88,3.24,3.76,1.31,1.42,1.8,3.25,4.29,2.98,2.41,1.74,3.16,2.88,4.81,1.12,1.0,1.17,1.21,1.1,2.29,2.93,2.84,2.02,1.6,1.02,1.67,3.13,1.77,3.17,2.02,1.27,2.42,1.09,2.32,2.0,1.88,3.0,1.38,3.75,1.38,1.0,1.0,1.0,1.0,2.0,2.38,2.25,3.0,1.0,1.0,1.0,1.75,3.38,3.62,2.0,1.88,2.0,1.0,4.0,1.0,1.88,3.88,3.75,2.88,2.12,1.0,3.38,1.0,1.0,1.0,2.5,1.0,1.25,3.38,3.12,2.12,1.0,1.0,1.0,1.88,1.12,2.25,3.0,1.38,4.12,4.25,"Writing, Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Judgment and Decision Making, Time Management, Monitoring, Coordination","English Language, Computers and Electronics, Administrative, Communications and Media, Administration and Management, Public Safety and Security, Education and Training, Production and Processing, Customer and Personal Service, Mathematics","Written Expression, Written Comprehension, Near Vision, Oral Comprehension, Oral Expression, Deductive Reasoning, Information Ordering, Problem Sensitivity, Inductive Reasoning, Speech Clarity"
Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other material.",3.38,3.88,3.0,3.38,3.62,1.0,1.0,1.0,2.88,3.25,2.75,1.12,1.12,2.5,1.25,3.0,2.88,1.0,1.25,1.0,3.38,1.62,1.5,4.12,1.0,1.12,3.12,3.38,3.88,2.25,2.38,1.75,3.62,1.0,4.75,2.66,2.82,1.0,1.0,1.0,4.2,3.54,4.01,2.25,1.94,1.92,1.01,5.0,2.05,1.07,1.46,1.8,1.61,2.0,2.86,1.35,1.02,2.34,1.86,1.0,1.9,2.58,1.88,4.3,2.64,2.36,1.18,1.36,1.25,2.0,3.0,1.25,3.12,1.0,1.12,1.12,1.12,1.12,2.38,1.38,2.5,3.88,1.0,1.12,1.12,1.5,3.12,3.0,1.12,1.38,2.38,1.25,3.38,1.0,1.38,4.0,4.0,3.88,2.0,1.0,3.0,1.12,1.12,1.12,2.75,1.0,1.25,3.62,3.62,2.62,1.12,1.12,1.12,2.5,2.0,2.12,2.38,1.38,4.12,4.62,"Writing, Reading Comprehension, Active Listening, Speaking, Critical Thinking, Time Management, Active Learning, Social Perceptiveness, Coordination, Persuasion","English Language, Sales and Marketing, Communications and Media, Customer and Personal Service, Computers and Electronics, Mathematics, Administrative, Administration and Management, Sociology and Anthropology, Psychology","Written Expression, Written Comprehension, Oral Comprehension, Oral Expression, Fluency of Ideas, Originality, Speech Recognition, Speech Clarity, Near Vision, Deductive Reasoning"
"Poets, Lyricists and Creative Writers","Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.",3.75,3.62,3.12,2.75,3.75,1.0,1.0,1.0,2.12,3.25,2.75,1.62,1.5,2.0,1.75,2.75,2.38,1.0,1.88,1.25,2.75,1.75,1.5,4.25,1.0,1.12,2.5,3.12,3.88,2.0,2.0,1.62,2.75,1.0,4.75,2.48,3.27,1.14,1.0,1.0,4.05,3.36,2.45,1.55,2.23,2.27,1.23,4.68,3.09,1.0,2.05,1.95,2.77,1.86,1.45,1.05,1.27,1.18,2.5,1.09,1.91,2.77,1.5,3.23,2.62,1.67,1.59,1.64,2.0,1.88,3.12,1.75,3.12,1.0,1.0,1.62,1.0,1.0,2.75,2.5,2.75,4.25,1.0,1.0,1.0,1.88,3.38,3.12,2.0,1.88,2.0,1.0,3.88,1.0,1.88,3.88,3.75,4.12,1.88,1.0,2.88,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.38,1.0,1.0,1.0,1.88,2.0,1.88,2.5,2.0,4.12,4.75,"Writing, Reading Comprehension, Speaking, Critical Thinking, Active Learning, Active Listening, Judgment and Decision Making, Social Perceptiveness, Complex Problem Solving, Learning Strategies","English Language, Communications and Media, Computers and Electronics, Administrative, Sales and Marketing, Fine Arts, Psychology, History and Archeology, Sociology and Anthropology, Philosophy and Theology","Written Expression, Fluency of Ideas, Written Comprehension, Originality, Oral Comprehension, Near Vision, Oral Expression, Inductive Reasoning, Deductive Reasoning, Information Ordering"
Interpreters and Translators,"Interpret oral or sign language, or translate written text from one language into another.",3.12,4.0,3.0,3.0,3.62,1.0,1.0,1.0,3.0,3.12,3.0,1.25,1.25,2.75,2.0,3.62,2.38,1.0,1.62,2.0,2.88,1.12,2.0,3.88,1.0,1.12,3.12,3.12,4.12,2.12,2.12,1.88,3.0,1.25,3.75,2.4,3.22,2.03,1.18,1.42,2.55,2.91,3.88,1.39,1.67,3.39,1.36,4.66,1.23,1.1,4.13,2.18,1.77,3.03,2.37,1.24,2.24,2.12,1.67,1.32,1.77,2.53,3.07,1.5,2.48,2.07,1.88,1.78,1.75,3.0,3.0,1.0,3.12,1.5,1.0,1.38,1.38,1.38,2.88,2.25,2.88,3.0,1.0,1.88,1.38,2.88,3.0,3.75,1.5,2.0,2.88,1.88,3.62,1.0,2.0,4.12,4.25,3.0,2.88,1.0,3.62,1.0,1.0,1.12,3.12,1.0,1.0,3.88,3.88,3.0,1.12,1.88,1.38,3.0,2.0,2.0,2.75,1.25,4.0,4.0,"Speaking, Active Listening, Reading Comprehension, Writing, Critical Thinking, Monitoring, Active Learning, Social Perceptiveness, Service Orientation, Judgment and Decision Making","English Language, Foreign Language, Customer and Personal Service, Education and Training, Administrative, Public Safety and Security, Law and Government, Computers and Electronics, Communications and Media, Psychology","Oral Expression, Oral Comprehension, Written Comprehension, Written Expression, Speech Recognition, Speech Clarity, Information Ordering, Problem Sensitivity, Near Vision, Deductive Reasoning"
Court Reporters and Simultaneous Captioners,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers.",2.38,4.0,2.12,2.0,2.5,1.5,1.25,1.0,1.38,2.0,2.0,1.0,1.0,1.5,1.62,3.0,1.62,1.75,1.12,1.88,1.75,1.12,2.12,3.12,1.38,1.0,1.88,2.62,3.0,1.88,1.75,1.0,3.0,1.75,3.38,3.11,4.6,1.0,1.0,1.05,3.01,4.14,3.48,1.0,2.52,1.91,2.08,4.81,1.0,1.0,1.03,1.42,1.18,3.91,1.39,1.14,1.53,1.97,1.24,1.0,2.57,1.46,2.59,1.77,1.29,2.38,1.1,2.01,2.25,2.88,2.38,2.88,2.88,1.12,1.0,1.0,1.0,1.12,2.25,3.0,2.12,1.88,1.0,1.0,1.0,2.0,2.62,3.25,2.25,2.0,2.25,1.5,3.88,1.0,1.88,4.12,3.88,1.88,2.5,1.0,2.88,1.12,1.38,1.5,3.75,1.0,1.0,3.12,4.12,2.12,1.0,1.0,1.0,2.5,1.62,1.62,1.88,3.12,3.88,4.0,"Active Listening, Writing, Reading Comprehension, Speaking, Monitoring, Time Management, Social Perceptiveness, Critical Thinking, Active Learning, Complex Problem Solving","English Language, Administrative, Computers and Electronics, Law and Government, Customer and Personal Service, Administration and Management, Communications and Media, Public Safety and Security, Production and Processing, Economics and Accounting","Oral Comprehension, Speech Recognition, Written Expression, Written Comprehension, Oral Expression, Near Vision, Selective Attention, Information Ordering, Wrist-Finger Speed, Speech Clarity"
Audio and Video Technicians,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",3.0,3.12,3.25,3.12,3.5,2.38,2.75,2.5,2.88,3.0,2.75,1.88,2.0,2.88,2.0,3.75,2.5,3.0,2.12,3.5,2.62,2.0,2.88,3.5,2.25,1.0,3.12,3.0,3.12,3.0,2.88,2.0,3.0,2.75,3.12,3.0,2.42,1.36,1.94,1.67,4.07,4.11,3.38,2.98,1.59,3.09,3.56,4.03,3.6,1.09,1.24,1.85,1.75,2.64,2.84,2.92,1.38,2.46,1.61,2.71,2.42,2.34,3.08,1.84,1.94,3.71,1.43,2.18,3.12,3.12,3.12,3.12,3.38,2.12,1.0,2.0,1.62,2.25,3.12,3.0,3.12,2.88,1.12,1.88,1.88,3.25,3.25,3.75,3.0,2.12,2.12,2.25,4.0,1.12,2.25,3.75,3.88,2.88,3.0,1.0,3.75,2.12,2.12,1.75,3.12,1.62,1.38,3.12,3.12,2.25,1.0,2.12,2.12,3.0,2.12,3.25,3.0,2.12,3.5,3.5,"Monitoring, Reading Comprehension, Critical Thinking, Operations Monitoring, Complex Problem Solving, Active Listening, Writing, Speaking, Coordination, Service Orientation","Computers and Electronics, Communications and Media, English Language, Telecommunications, Fine Arts, Engineering and Technology, Customer and Personal Service, Education and Training, Public Safety and Security, Administration and Management","Near Vision, Oral Expression, Oral Comprehension, Problem Sensitivity, Information Ordering, Written Comprehension, Written Expression, Deductive Reasoning, Inductive Reasoning, Visual Color Discrimination"
Broadcast Technicians,"Set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs. Control and adjust incoming and outgoing broadcast signals to regulate sound volume, signal strength, and signal clarity. Operate satellite, microwave, or other transmitter equipment to broadcast radio or television programs.",3.12,3.62,3.25,3.0,3.75,3.12,2.75,2.0,2.5,3.12,2.88,1.88,2.12,2.62,2.75,3.5,2.38,3.0,2.12,3.5,2.38,2.12,2.88,3.12,2.75,1.88,2.38,3.0,3.12,2.88,2.75,2.25,3.12,3.0,3.25,2.25,2.21,1.11,1.95,1.52,3.54,4.51,2.49,2.82,1.47,2.71,3.81,3.45,1.09,1.0,1.3,1.91,1.07,1.97,2.79,2.68,1.16,1.97,1.19,1.79,2.46,1.52,2.23,1.51,1.17,4.2,1.18,1.74,3.0,2.75,3.0,3.0,3.25,2.0,1.0,2.0,1.12,2.0,2.88,3.0,3.12,3.0,1.62,2.0,1.75,2.75,3.12,3.25,3.0,2.62,2.62,2.5,3.88,1.62,2.12,3.62,3.25,3.0,3.0,1.62,3.62,2.5,2.5,2.0,3.12,1.62,1.62,3.12,3.12,2.75,1.0,2.0,2.38,2.75,2.12,3.12,3.0,2.0,3.62,3.25,"Critical Thinking, Active Listening, Monitoring, Operations Monitoring, Writing, Complex Problem Solving, Reading Comprehension, Speaking, Active Learning, Equipment Maintenance","Computers and Electronics, Telecommunications, Engineering and Technology, Communications and Media, English Language, Design, Mathematics, Education and Training, Mechanical, Customer and Personal Service","Near Vision, Oral Comprehension, Written Comprehension, Problem Sensitivity, Oral Expression, Written Expression, Deductive Reasoning, Information Ordering, Inductive Reasoning, Flexibility of Closure"
Sound Engineering Technicians,"Assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions.",3.12,3.75,3.25,3.0,3.25,2.62,2.5,1.5,2.75,3.12,2.75,1.75,2.0,2.5,2.12,3.12,2.62,3.0,1.38,3.12,2.75,1.75,2.88,3.38,2.5,1.38,2.88,3.0,3.62,3.0,3.0,2.0,3.0,2.75,3.25,3.11,2.78,1.19,2.15,1.3,4.08,4.44,4.04,2.59,2.52,2.44,4.44,3.89,3.74,1.11,1.74,1.52,1.59,1.93,2.65,2.78,1.11,2.44,1.85,2.63,3.15,3.19,2.04,2.78,2.11,3.85,2.04,1.96,3.12,3.25,3.25,3.12,3.25,2.0,1.0,1.38,1.0,1.88,3.0,3.0,3.0,3.25,1.0,1.12,1.0,3.62,3.12,3.5,2.88,2.12,2.5,2.25,3.88,1.0,2.25,3.75,3.75,3.38,3.12,1.0,3.25,1.75,1.75,1.88,3.38,1.62,1.38,3.5,3.25,2.88,1.0,1.12,2.12,2.75,1.88,2.88,3.12,2.0,3.5,3.5,"Active Listening, Speaking, Reading Comprehension, Writing, Critical Thinking, Complex Problem Solving, Active Learning, Monitoring, Operations Monitoring, Judgment and Decision Making","Computers and Electronics, Engineering and Technology, Communications and Media, Customer and Personal Service, English Language, Telecommunications, Fine Arts, Psychology, Production and Processing, Administration and Management","Near Vision, Oral Comprehension, Oral Expression, Hearing Sensitivity, Written Comprehension, Written Expression, Information Ordering, Speech Clarity, Originality, Selective Attention"
Photographers,"Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists.",3.12,3.75,3.12,3.0,3.12,1.88,2.25,1.38,2.88,3.12,2.88,1.62,1.88,2.75,2.0,3.12,2.75,2.25,2.75,2.62,2.88,1.62,2.5,3.12,1.5,1.75,3.25,3.12,3.75,2.5,2.38,1.88,3.0,2.12,2.88,3.86,3.45,1.18,1.48,1.5,3.73,4.18,4.68,2.77,3.29,2.82,2.27,3.73,3.55,1.1,1.5,1.38,1.5,2.14,2.36,2.14,1.09,2.71,1.55,1.9,3.5,3.36,2.27,4.48,2.05,2.48,1.55,2.0,3.0,1.75,3.12,2.88,3.12,2.75,1.0,1.75,1.25,2.0,3.88,2.88,3.0,3.25,2.0,1.88,1.88,1.75,3.0,3.0,3.0,2.0,2.0,2.75,4.0,1.62,2.0,3.62,3.88,3.88,2.75,1.62,3.38,2.38,2.5,2.0,3.0,1.12,1.88,3.25,3.0,2.38,1.25,1.75,2.0,2.75,2.25,3.62,3.88,2.12,3.25,3.0,"Active Listening, Speaking, Service Orientation, Reading Comprehension, Critical Thinking, Active Learning, Monitoring, Social Perceptiveness, Complex Problem Solving, Judgment and Decision Making","Customer and Personal Service, Sales and Marketing, Computers and Electronics, Administration and Management, English Language, Communications and Media, Fine Arts, Production and Processing, Administrative, Psychology","Near Vision, Oral Expression, Originality, Visualization, Far Vision, Oral Comprehension, Visual Color Discrimination, Problem Sensitivity, Written Comprehension, Fluency of Ideas"
"Camera Operators, Television, Video, and Film","Operate television, video, or film camera to record images or scenes for television, video, or film productions.",2.88,3.75,3.0,3.25,3.12,2.25,2.62,1.12,2.38,3.25,2.75,1.75,1.88,2.5,2.0,3.12,2.5,2.88,2.12,2.88,2.88,1.38,2.88,3.25,2.38,1.0,2.88,3.12,3.25,2.25,2.25,2.0,3.12,2.38,2.88,2.26,2.2,1.2,1.6,1.52,3.84,4.03,2.65,1.99,1.2,2.75,2.9,4.34,2.07,1.01,1.4,2.39,2.1,2.47,2.72,2.38,1.34,1.88,1.46,1.54,2.63,1.62,2.76,2.0,2.12,3.81,1.39,2.01,3.25,2.75,3.0,3.25,3.12,2.62,1.0,2.0,1.62,2.25,3.75,3.12,3.25,3.12,2.0,2.12,2.0,2.75,3.12,3.25,3.12,2.0,2.12,2.88,3.75,1.62,2.0,3.5,3.62,3.12,2.88,1.62,3.62,2.25,2.12,2.25,3.25,1.62,2.12,3.5,3.38,2.5,1.75,2.0,2.62,3.0,2.62,3.38,3.75,2.0,2.88,2.75,"Active Listening, Reading Comprehension, Speaking, Coordination, Judgment and Decision Making, Critical Thinking, Monitoring, Social Perceptiveness, Time Management, Complex Problem Solving","English Language, Computers and Electronics, Communications and Media, Telecommunications, Engineering and Technology, Public Safety and Security, Education and Training, Mathematics, Customer and Personal Service, Production and Processing","Visualization, Near Vision, Far Vision, Oral Expression, Problem Sensitivity, Oral Comprehension, Speech Clarity, Visual Color Discrimination, Speech Recognition, Information Ordering"
Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",3.25,3.75,3.25,3.0,3.5,1.38,1.75,1.0,2.38,3.12,2.62,1.62,1.62,2.25,1.88,3.0,2.5,1.88,2.12,2.25,2.75,1.5,2.5,3.38,1.38,1.0,2.5,2.88,3.25,2.75,2.62,1.75,3.12,1.88,3.12,3.28,3.23,1.11,1.18,1.13,4.94,4.51,3.44,3.24,2.15,3.06,3.34,4.59,4.05,1.18,2.3,2.31,2.66,2.79,2.25,1.71,1.73,2.51,1.88,1.31,3.7,1.69,2.01,3.21,1.75,4.12,1.33,2.24,2.38,2.25,3.38,2.62,3.38,1.62,1.0,1.0,1.0,1.25,2.88,2.88,3.12,3.62,1.0,1.0,1.0,2.25,3.12,3.75,2.38,2.0,2.25,1.12,3.88,1.0,2.0,3.88,3.75,3.5,3.12,1.0,3.25,1.38,1.38,1.0,3.38,1.12,1.0,3.5,3.38,2.5,1.0,1.0,1.0,2.5,1.62,3.12,3.62,1.62,3.62,3.38,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Active Learning, Complex Problem Solving, Writing, Judgment and Decision Making, Time Management, Monitoring","Communications and Media, English Language, Computers and Electronics, Telecommunications, Fine Arts, Production and Processing, Customer and Personal Service, Engineering and Technology, Administration and Management, Design","Oral Comprehension, Near Vision, Oral Expression, Information Ordering, Written Comprehension, Fluency of Ideas, Visualization, Originality, Speech Clarity, Written Expression"
Chiropractors,"Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment.",3.38,4.0,3.62,3.12,3.88,1.0,1.0,1.0,2.88,3.5,2.88,1.88,1.88,2.88,2.38,3.12,2.62,1.88,2.12,1.88,3.0,1.5,2.0,3.88,1.0,3.38,3.5,3.75,3.88,3.12,3.12,1.75,3.25,1.38,3.75,3.75,3.49,3.94,1.14,2.31,2.34,3.2,4.07,1.85,2.94,3.44,2.21,4.1,1.14,1.15,1.81,1.6,1.61,2.71,2.62,2.04,4.34,3.47,2.51,1.99,2.21,3.82,2.52,3.34,2.95,1.93,3.42,1.26,3.12,1.88,3.12,2.75,4.0,2.0,1.0,2.5,1.38,2.62,2.25,3.0,3.12,3.0,1.0,2.25,1.88,1.88,4.0,3.75,2.88,2.5,2.75,3.12,3.62,1.0,2.25,4.0,4.0,2.88,2.88,1.0,4.0,1.75,2.0,2.0,3.0,1.0,1.0,3.75,3.62,2.88,1.75,2.12,2.88,2.75,3.38,1.75,2.88,2.12,4.0,3.88,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Writing, Social Perceptiveness, Complex Problem Solving, Service Orientation, Judgment and Decision Making, Science","Medicine and Dentistry, English Language, Customer and Personal Service, Biology, Psychology, Administration and Management, Administrative, Personnel and Human Resources, Education and Training, Therapy and Counseling","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression, Information Ordering, Speech Clarity, Near Vision"
"Dentists, General","Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care.",3.88,4.0,4.0,3.75,4.12,1.5,2.38,1.25,3.25,4.12,3.12,3.0,3.0,3.5,2.75,4.0,3.12,2.88,2.38,2.75,3.75,1.62,2.75,4.0,1.38,3.75,3.88,3.88,4.0,2.88,2.75,2.0,3.88,2.0,3.25,3.22,2.46,3.52,1.77,2.93,1.95,2.84,4.24,2.51,3.0,3.29,2.6,3.93,1.44,1.18,1.7,1.33,1.28,2.47,2.36,2.78,5.0,3.18,1.35,2.64,2.52,3.43,2.45,2.4,1.83,1.77,2.3,1.44,4.12,2.88,3.75,4.0,4.12,3.0,1.12,2.0,1.0,2.88,2.88,4.25,3.5,3.25,1.0,1.88,1.88,2.88,4.12,3.88,3.88,3.0,2.75,3.62,4.12,1.0,3.0,4.0,4.0,3.12,3.0,1.0,4.25,2.25,2.75,2.75,3.88,1.0,1.88,4.0,3.88,2.88,1.12,2.12,2.0,2.88,2.25,3.12,3.25,2.88,4.0,3.38,"Critical Thinking, Judgment and Decision Making, Reading Comprehension, Active Listening, Speaking, Monitoring, Complex Problem Solving, Active Learning, Social Perceptiveness, Service Orientation","Medicine and Dentistry, Customer and Personal Service, English Language, Biology, Psychology, Education and Training, Administration and Management, Personnel and Human Resources, Economics and Accounting, Chemistry","Problem Sensitivity, Finger Dexterity, Deductive Reasoning, Inductive Reasoning, Arm-Hand Steadiness, Near Vision, Oral Comprehension, Written Comprehension, Oral Expression, Control Precision"
Oral and Maxillofacial Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance.",3.88,3.88,4.12,3.62,4.0,1.88,2.12,1.0,2.88,4.12,2.88,2.0,2.0,2.75,2.62,3.88,2.62,2.88,3.12,2.75,2.75,1.5,2.75,4.0,1.88,3.5,3.25,3.75,3.88,3.25,3.0,2.0,3.38,1.88,3.5,3.41,2.72,4.41,1.69,3.43,2.48,2.99,4.32,2.35,2.77,3.45,2.23,4.4,1.43,1.17,2.17,1.76,1.89,2.84,3.05,2.69,5.0,3.38,2.11,2.49,2.02,3.75,2.58,2.8,2.4,2.21,3.11,1.75,4.25,2.75,3.38,4.0,4.0,2.25,1.0,1.88,1.0,2.5,2.88,4.12,3.38,3.12,1.0,1.75,1.75,2.38,4.0,3.88,3.88,2.88,2.75,3.25,4.12,1.0,2.88,4.0,4.0,3.25,3.12,1.0,4.0,2.25,2.62,2.5,3.62,1.0,1.0,3.75,3.75,2.75,1.12,2.0,1.88,2.88,2.75,3.25,3.25,2.75,3.88,3.62,"Complex Problem Solving, Judgment and Decision Making, Reading Comprehension, Critical Thinking, Active Listening, Speaking, Active Learning, Monitoring, Social Perceptiveness, Coordination","Medicine and Dentistry, Biology, English Language, Customer and Personal Service, Psychology, Education and Training, Chemistry, Administration and Management, Personnel and Human Resources, Therapy and Counseling","Arm-Hand Steadiness, Finger Dexterity, Near Vision, Oral Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Control Precision, Written Comprehension"
Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and to improve appearance.",3.75,4.0,4.0,3.88,4.0,1.0,2.0,1.0,3.25,3.75,3.25,2.0,2.25,3.12,2.12,4.0,3.0,2.25,3.0,2.5,3.25,1.38,2.38,3.88,1.0,3.38,3.38,3.88,4.0,3.0,2.75,2.0,3.75,2.0,3.38,3.18,2.68,3.68,1.19,2.63,2.58,3.26,4.25,2.48,2.64,3.14,3.05,3.69,1.05,1.03,1.82,1.11,1.21,1.74,3.22,2.19,4.95,2.96,1.25,3.07,2.61,2.96,2.46,2.6,1.81,2.11,2.09,1.16,4.0,2.25,3.25,3.25,4.0,2.0,1.0,1.25,1.12,2.12,3.0,4.0,2.88,3.25,1.0,1.0,1.12,2.0,4.0,3.75,3.75,2.5,2.62,2.75,4.0,1.0,2.5,4.0,4.0,3.0,2.75,1.0,4.12,1.88,1.88,1.88,3.25,1.0,1.0,3.75,3.75,2.5,1.0,1.0,2.0,3.0,2.0,2.5,3.12,2.12,4.0,4.0,"Active Listening, Speaking, Critical Thinking, Monitoring, Complex Problem Solving, Reading Comprehension, Social Perceptiveness, Coordination, Active Learning, Judgment and Decision Making","Medicine and Dentistry, Customer and Personal Service, English Language, Biology, Computers and Electronics, Mathematics, Administration and Management, Education and Training, Physics, Engineering and Technology","Problem Sensitivity, Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Arm-Hand Steadiness, Finger Dexterity, Near Vision"
