Title,Description,skill_profile,corpus
Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.","Active Listening, Writing, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Complex Problem Solving, Speaking, Active Learning, Time Management, Monitoring","electrical and electronics drafters is a job whose key responsibility is to prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.. the required skills are active listening, writing, critical thinking, judgment and decision making, reading comprehension, complex problem solving, speaking, active learning, time management, monitoring"
Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.","Reading Comprehension, Active Listening, Mathematics, Critical Thinking, Active Learning, Speaking, Complex Problem Solving, Writing, Monitoring, Social Perceptiveness","mechanical drafters is a job whose key responsibility is to prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.. the required skills are reading comprehension, active listening, mathematics, critical thinking, active learning, speaking, complex problem solving, writing, monitoring, social perceptiveness"
Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.","Critical Thinking, Reading Comprehension, Operations Monitoring, Quality Control Analysis, Active Listening, Speaking, Complex Problem Solving, Troubleshooting, Judgment and Decision Making, Writing","aerospace engineering and operations technologists and technicians is a job whose key responsibility is to operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. may record and interpret test data.. the required skills are critical thinking, reading comprehension, operations monitoring, quality control analysis, active listening, speaking, complex problem solving, troubleshooting, judgment and decision making, writing"
Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.","Critical Thinking, Reading Comprehension, Active Listening, Mathematics, Speaking, Writing, Monitoring, Complex Problem Solving, Judgment and Decision Making, Coordination","civil engineering technologists and technicians is a job whose key responsibility is to apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.. the required skills are critical thinking, reading comprehension, active listening, mathematics, speaking, writing, monitoring, complex problem solving, judgment and decision making, coordination"
Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.","Reading Comprehension, Critical Thinking, Active Listening, Troubleshooting, Repairing, Complex Problem Solving, Writing, Speaking, Active Learning, Monitoring","electrical and electronic engineering technologists and technicians is a job whose key responsibility is to apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.. the required skills are reading comprehension, critical thinking, active listening, troubleshooting, repairing, complex problem solving, writing, speaking, active learning, monitoring"
Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.","Operations Monitoring, Troubleshooting, Monitoring, Repairing, Critical Thinking, Quality Control Analysis, Operation and Control, Judgment and Decision Making, Reading Comprehension, Complex Problem Solving","electro-mechanical and mechatronics technologists and technicians is a job whose key responsibility is to operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. may operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. may assist engineers in testing and designing robotics equipment.. the required skills are operations monitoring, troubleshooting, monitoring, repairing, critical thinking, quality control analysis, operation and control, judgment and decision making, reading comprehension, complex problem solving"
Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems.","Troubleshooting, Repairing, Reading Comprehension, Critical Thinking, Equipment Maintenance, Active Listening, Complex Problem Solving, Operations Monitoring, Quality Control Analysis, Operation and Control","robotics technicians is a job whose key responsibility is to build, install, test, or maintain robotic equipment or related automated production systems.. the required skills are troubleshooting, repairing, reading comprehension, critical thinking, equipment maintenance, active listening, complex problem solving, operations monitoring, quality control analysis, operation and control"
Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. May assist in the development of environmental remediation devices.","Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Speaking, Science, Monitoring, Judgment and Decision Making, Writing, Complex Problem Solving","environmental engineering technologists and technicians is a job whose key responsibility is to apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientists. may assist in the development of environmental remediation devices.. the required skills are reading comprehension, active listening, critical thinking, active learning, speaking, science, monitoring, judgment and decision making, writing, complex problem solving"
Industrial Engineering Technologists and Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.","Reading Comprehension, Active Listening, Critical Thinking, Complex Problem Solving, Monitoring, Speaking, Systems Analysis, Systems Evaluation, Time Management, Writing","industrial engineering technologists and technicians is a job whose key responsibility is to apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. may perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.. the required skills are reading comprehension, active listening, critical thinking, complex problem solving, monitoring, speaking, systems analysis, systems evaluation, time management, writing"
Nanotechnology Engineering Technologists and Technicians,"Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.","Reading Comprehension, Active Listening, Active Learning, Writing, Critical Thinking, Monitoring, Speaking, Complex Problem Solving, Operations Monitoring, Judgment and Decision Making","nanotechnology engineering technologists and technicians is a job whose key responsibility is to implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. operate advanced microscopy equipment to manipulate nanoscale objects. work under the supervision of nanoengineering staff.. the required skills are reading comprehension, active listening, active learning, writing, critical thinking, monitoring, speaking, complex problem solving, operations monitoring, judgment and decision making"
Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.","Reading Comprehension, Active Listening, Critical Thinking, Speaking, Complex Problem Solving, Writing, Operations Monitoring, Judgment and Decision Making, Mathematics, Quality Control Analysis","mechanical engineering technologists and technicians is a job whose key responsibility is to apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists.. the required skills are reading comprehension, active listening, critical thinking, speaking, complex problem solving, writing, operations monitoring, judgment and decision making, mathematics, quality control analysis"
Automotive Engineering Technicians,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.","Reading Comprehension, Speaking, Critical Thinking, Active Listening, Writing, Complex Problem Solving, Operations Monitoring, Quality Control Analysis, Mathematics, Monitoring","automotive engineering technicians is a job whose key responsibility is to assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.. the required skills are reading comprehension, speaking, critical thinking, active listening, writing, complex problem solving, operations monitoring, quality control analysis, mathematics, monitoring"
Non-Destructive Testing Specialists,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.","Reading Comprehension, Quality Control Analysis, Active Listening, Critical Thinking, Monitoring, Writing, Active Learning, Operations Monitoring, Speaking, Mathematics","non-destructive testing specialists is a job whose key responsibility is to test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.. the required skills are reading comprehension, quality control analysis, active listening, critical thinking, monitoring, writing, active learning, operations monitoring, speaking, mathematics"
Photonics Technicians,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.","Reading Comprehension, Active Listening, Critical Thinking, Operations Monitoring, Quality Control Analysis, Active Learning, Monitoring, Equipment Maintenance, Writing, Speaking","photonics technicians is a job whose key responsibility is to build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.. the required skills are reading comprehension, active listening, critical thinking, operations monitoring, quality control analysis, active learning, monitoring, equipment maintenance, writing, speaking"
Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.","Reading Comprehension, Critical Thinking, Writing, Mathematics, Active Listening, Speaking, Monitoring, Complex Problem Solving, Active Learning, Coordination","surveying and mapping technicians is a job whose key responsibility is to perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist, to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. may calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. may verify accuracy and completeness of maps.. the required skills are reading comprehension, critical thinking, writing, mathematics, active listening, speaking, monitoring, complex problem solving, active learning, coordination"
Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.","Reading Comprehension, Writing, Science, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Active Listening, Speaking, Active Learning, Monitoring","animal scientists is a job whose key responsibility is to conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.. the required skills are reading comprehension, writing, science, critical thinking, complex problem solving, judgment and decision making, active listening, speaking, active learning, monitoring"
Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.","Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Monitoring, Complex Problem Solving, Active Learning, Judgment and Decision Making, Science","food scientists and technologists is a job whose key responsibility is to use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.. the required skills are reading comprehension, active listening, writing, speaking, critical thinking, monitoring, complex problem solving, active learning, judgment and decision making, science"
Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity.","Reading Comprehension, Speaking, Science, Critical Thinking, Active Learning, Active Listening, Writing, Complex Problem Solving, Judgment and Decision Making, Systems Analysis","soil and plant scientists is a job whose key responsibility is to conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. may classify and map soils and investigate effects of alternative practices on soil and crop productivity.. the required skills are reading comprehension, speaking, science, critical thinking, active learning, active listening, writing, complex problem solving, judgment and decision making, systems analysis"
Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.","Science, Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Active Learning, Complex Problem Solving, Learning Strategies, Judgment and Decision Making","biochemists and biophysicists is a job whose key responsibility is to study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. may conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. may determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.. the required skills are science, reading comprehension, writing, critical thinking, active listening, speaking, active learning, complex problem solving, learning strategies, judgment and decision making"
Microbiologists,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","Science, Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Active Learning, Judgment and Decision Making, Learning Strategies, Monitoring","microbiologists is a job whose key responsibility is to investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.. the required skills are science, reading comprehension, writing, critical thinking, active listening, speaking, active learning, judgment and decision making, learning strategies, monitoring"
Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.","Reading Comprehension, Active Listening, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Writing, Science, Coordination, Active Learning","zoologists and wildlife biologists is a job whose key responsibility is to study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. may specialize in wildlife research and management. may collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.. the required skills are reading comprehension, active listening, speaking, critical thinking, complex problem solving, judgment and decision making, writing, science, coordination, active learning"
Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.","Reading Comprehension, Critical Thinking, Active Listening, Speaking, Complex Problem Solving, Writing, Science, Active Learning, Judgment and Decision Making, Mathematics","bioinformatics scientists is a job whose key responsibility is to conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. may design databases and develop algorithms for processing and analyzing genomic information, or other biological information.. the required skills are reading comprehension, critical thinking, active listening, speaking, complex problem solving, writing, science, active learning, judgment and decision making, mathematics"
Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.,"Science, Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Complex Problem Solving, Judgment and Decision Making, Active Learning, Learning Strategies","molecular and cellular biologists is a job whose key responsibility is to research and study cellular molecules and organelles to understand cell function and organization.. the required skills are science, reading comprehension, writing, critical thinking, active listening, speaking, complex problem solving, judgment and decision making, active learning, learning strategies"
Geneticists,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.","Reading Comprehension, Science, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Complex Problem Solving, Judgment and Decision Making, Mathematics","geneticists is a job whose key responsibility is to research and study the inheritance of traits at the molecular, organism or population level. may evaluate or treat patients with genetic disorders.. the required skills are reading comprehension, science, active listening, writing, speaking, critical thinking, active learning, complex problem solving, judgment and decision making, mathematics"
Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.","Science, Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Active Learning, Complex Problem Solving, Mathematics, Judgment and Decision Making","biologists is a job whose key responsibility is to research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.. the required skills are science, reading comprehension, active listening, writing, speaking, critical thinking, active learning, complex problem solving, mathematics, judgment and decision making"
Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.","Reading Comprehension, Active Listening, Speaking, Complex Problem Solving, Writing, Science, Critical Thinking, Active Learning, Monitoring, Social Perceptiveness","conservation scientists is a job whose key responsibility is to manage, improve, and protect natural resources to maximize their use without damaging the environment. may conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. may instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.. the required skills are reading comprehension, active listening, speaking, complex problem solving, writing, science, critical thinking, active learning, monitoring, social perceptiveness"
Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.","Active Listening, Reading Comprehension, Speaking, Critical Thinking, Monitoring, Complex Problem Solving, Judgment and Decision Making, Coordination, Writing, Active Learning","range managers is a job whose key responsibility is to research or study range land management practices to provide sustained production of forage, livestock, and wildlife.. the required skills are active listening, reading comprehension, speaking, critical thinking, monitoring, complex problem solving, judgment and decision making, coordination, writing, active learning"
Park Naturalists,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.","Speaking, Reading Comprehension, Active Listening, Writing, Social Perceptiveness, Critical Thinking, Service Orientation, Active Learning, Learning Strategies, Instructing","park naturalists is a job whose key responsibility is to plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.. the required skills are speaking, reading comprehension, active listening, writing, social perceptiveness, critical thinking, service orientation, active learning, learning strategies, instructing"
Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.","Active Listening, Reading Comprehension, Speaking, Critical Thinking, Complex Problem Solving, Writing, Monitoring, Judgment and Decision Making, Systems Analysis, Systems Evaluation","foresters is a job whose key responsibility is to manage public and private forested lands for economic, recreational, and conservation purposes. may inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. may determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. may devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.. the required skills are active listening, reading comprehension, speaking, critical thinking, complex problem solving, writing, monitoring, judgment and decision making, systems analysis, systems evaluation"
Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.","Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Active Listening, Writing, Speaking, Science, Active Learning, Systems Analysis","epidemiologists is a job whose key responsibility is to investigate and describe the determinants and distribution of disease, disability, or health outcomes. may develop the means for prevention and control.. the required skills are reading comprehension, critical thinking, complex problem solving, judgment and decision making, active listening, writing, speaking, science, active learning, systems analysis"
"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.","Writing, Speaking, Science, Active Learning, Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making, Complex Problem Solving, Systems Analysis","medical scientists, except epidemiologists is a job whose key responsibility is to conduct research dealing with the understanding of human diseases and the improvement of human health. engage in clinical investigation, research and development, or other related activities.. the required skills are writing, speaking, science, active learning, reading comprehension, active listening, critical thinking, judgment and decision making, complex problem solving, systems analysis"
Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.","Reading Comprehension, Science, Writing, Mathematics, Critical Thinking, Active Listening, Speaking, Active Learning, Learning Strategies, Judgment and Decision Making","astronomers is a job whose key responsibility is to observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.. the required skills are reading comprehension, science, writing, mathematics, critical thinking, active listening, speaking, active learning, learning strategies, judgment and decision making"
Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","Science, Reading Comprehension, Mathematics, Speaking, Critical Thinking, Active Listening, Writing, Active Learning, Learning Strategies, Complex Problem Solving","physicists is a job whose key responsibility is to conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.. the required skills are science, reading comprehension, mathematics, speaking, critical thinking, active listening, writing, active learning, learning strategies, complex problem solving"
Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.","Reading Comprehension, Active Listening, Speaking, Science, Critical Thinking, Active Learning, Writing, Complex Problem Solving, Judgment and Decision Making, Mathematics","atmospheric and space scientists is a job whose key responsibility is to investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.. the required skills are reading comprehension, active listening, speaking, science, critical thinking, active learning, writing, complex problem solving, judgment and decision making, mathematics"
Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,"Science, Reading Comprehension, Critical Thinking, Speaking, Active Listening, Writing, Mathematics, Active Learning, Complex Problem Solving, Monitoring","chemists is a job whose key responsibility is to conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.. the required skills are science, reading comprehension, critical thinking, speaking, active listening, writing, mathematics, active learning, complex problem solving, monitoring"
Materials Scientists,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists.","Reading Comprehension, Active Listening, Science, Critical Thinking, Complex Problem Solving, Writing, Speaking, Active Learning, Judgment and Decision Making, Mathematics","materials scientists is a job whose key responsibility is to research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists.. the required skills are reading comprehension, active listening, science, critical thinking, complex problem solving, writing, speaking, active learning, judgment and decision making, mathematics"
"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.","Reading Comprehension, Active Listening, Writing, Speaking, Science, Complex Problem Solving, Critical Thinking, Active Learning, Monitoring, Coordination","environmental scientists and specialists, including health is a job whose key responsibility is to conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.. the required skills are reading comprehension, active listening, writing, speaking, science, complex problem solving, critical thinking, active learning, monitoring, coordination"
Climate Change Policy Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.","Reading Comprehension, Active Listening, Critical Thinking, Writing, Speaking, Active Learning, Complex Problem Solving, Systems Evaluation, Systems Analysis, Time Management","climate change policy analysts is a job whose key responsibility is to research and analyze policy developments related to climate change. make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.. the required skills are reading comprehension, active listening, critical thinking, writing, speaking, active learning, complex problem solving, systems evaluation, systems analysis, time management"
Environmental Restoration Planners,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.","Critical Thinking, Reading Comprehension, Active Listening, Writing, Speaking, Complex Problem Solving, Judgment and Decision Making, Monitoring, Systems Analysis, Science","environmental restoration planners is a job whose key responsibility is to collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.. the required skills are critical thinking, reading comprehension, active listening, writing, speaking, complex problem solving, judgment and decision making, monitoring, systems analysis, science"
Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Science, Active Learning","industrial ecologists is a job whose key responsibility is to apply principles and processes of natural ecosystems to develop models for efficient industrial systems. use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. examine societal issues and their relationship with both technical systems and the environment.. the required skills are reading comprehension, active listening, writing, speaking, critical thinking, complex problem solving, judgment and decision making, systems analysis, science, active learning"
"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.","Reading Comprehension, Speaking, Science, Critical Thinking, Active Listening, Writing, Complex Problem Solving, Judgment and Decision Making, Mathematics, Active Learning","geoscientists, except hydrologists and geographers is a job whose key responsibility is to study the composition, structure, and other physical aspects of the earth. may use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. may study the earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.. the required skills are reading comprehension, speaking, science, critical thinking, active listening, writing, complex problem solving, judgment and decision making, mathematics, active learning"
Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.","Critical Thinking, Reading Comprehension, Active Listening, Science, Speaking, Mathematics, Complex Problem Solving, Writing, Active Learning, Monitoring","hydrologists is a job whose key responsibility is to research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.. the required skills are critical thinking, reading comprehension, active listening, science, speaking, mathematics, complex problem solving, writing, active learning, monitoring"
Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.","Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Science, Mathematics, Complex Problem Solving, Judgment and Decision Making, Systems Analysis","remote sensing scientists and technologists is a job whose key responsibility is to apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. may develop new sensor systems, analytical techniques, or new applications for existing systems.. the required skills are reading comprehension, critical thinking, active listening, writing, speaking, science, mathematics, complex problem solving, judgment and decision making, systems analysis"
Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.","Reading Comprehension, Mathematics, Critical Thinking, Active Listening, Writing, Speaking, Judgment and Decision Making, Active Learning, Complex Problem Solving, Instructing","economists is a job whose key responsibility is to conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. may collect and process economic and statistical data using sampling techniques and econometric methods.. the required skills are reading comprehension, mathematics, critical thinking, active listening, writing, speaking, judgment and decision making, active learning, complex problem solving, instructing"
